Unnamed: 0,random_state,how_many,wanna_print,get_hardware_info,classifier,remove_stopwords,k,do_lower_case,current_model,boost_value_threshold,pooling_mode,dimension,score,k_topics
,100,1000,False,False,faqs,True,50,True,Sahajtomar/German-semantic,0.0,mean,1024,69.3,
,100,1000,False,False,faqs,True,50,True,Sahajtomar/German-semantic,0.0,max,1024,60.5,
,100,1000,False,False,faqs,True,50,True,Sahajtomar/German-semantic,0.0,msl,1024,69.3,
,100,1000,False,False,faqs,True,50,True,Sahajtomar/German-semantic,0.0,msl,512,69.3,
,100,1000,False,False,faqs,True,50,True,Sahajtomar/German-semantic,0.0,msl,2048,69.3,
,100,1000,False,False,faqs,True,50,True,symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,0.0,msl,1048,39.2,
,100,1000,False,False,faqs,True,50,True,deepset/gelectra-large-germanquad,0.0,msl,1048,8.6,
,100,1000,False,False,faqs,True,50,True,deepset/gbert-large,0.0,msl,1048,58.9,
,100,1000,False,False,topics,True,50,True,Sahajtomar/German-semantic,0.0,msl,1048,90.2,
,100,1000,False,False,topics,True,10,True,Sahajtomar/German-semantic,0.0,msl,1048,53.3,
,100,1000,False,False,topics,False,10,True,Sahajtomar/German-semantic,0.0,msl,1048,56.10000000000001,
,100,1000,False,False,topics,False,10,False,Sahajtomar/German-semantic,0.0,msl,1048,61.6,
,100,1000,False,False,topics,False,10,False,Sahajtomar/German-semantic,0.0,cls,1048,63.8,
,100,1000,False,False,topics,False,10,False,Sahajtomar/German-semantic,0.0,mean,1048,61.6,
,100,1000,False,False,topics,False,10,False,Sahajtomar/German-semantic,0.0,max,1048,54.2,
,100,1000,False,False,topics,False,10,False,Sahajtomar/German-semantic,0.0,max,1048,54.2,
,100,1000,False,False,topics,False,10,False,Sahajtomar/German-semantic,0.0,msl,1048,61.6,
,100,1000,False,False,topics,False,10,False,Sahajtomar/German-semantic,0.0,cls,512,63.8,
,100,1000,False,False,topics,False,10,False,Sahajtomar/German-semantic,0.0,cls,2048,63.8,
,100,1000,False,False,topics,False,10,False,clips/mfaq,0.0,cls,1024,26.700000000000003,
,100,1000,False,False,topics,False,10,False,symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,0.0,cls,1024,53.3,
,100,1000,False,False,topics,False,10,False,deepset/gelectra-large-germanquad,0.0,cls,1024,13.4,
,100,1000,False,False,topics,False,10,False,deepset/gbert-large,0.0,cls,1024,33.6,
,100,1000,False,False,topics,False,10,False,Sahajtomar/German-semantic,0.0,cls,1024,63.8,
,100,1000,False,False,topics,False,10,False,Sahajtomar/German-semantic,0.0,cls,1024,63.8,
,100,1000,False,False,services,False,10,False,Sahajtomar/German-semantic,0.0,msl,1024,77.7,
,100,1000,False,False,services,False,10,False,Sahajtomar/German-semantic,0.0,mean,1024,77.7,
,100,1000,False,False,services,False,10,False,Sahajtomar/German-semantic,0.0,cls,1024,68.8,
,100,1000,False,False,services,False,10,False,Sahajtomar/German-semantic,0.0,mean,1024,77.7,
,100,1000,False,False,topics,False,10,False,Sahajtomar/German-semantic,0.0,mean,1024,61.6,
,100,1000,False,False,topics and services,False,10,False,Sahajtomar/German-semantic,0.0,mean,1024,62.0,
,100,1000,True,False,topics and services,False,10,False,Sahajtomar/German-semantic,0.0,mean,1024,74.0,
,100,1000,False,False,topics and services,False,5,False,Sahajtomar/German-semantic,0.0,mean,1024,56.39999999999999,
,100,1000,False,False,services,False,5,False,Sahajtomar/German-semantic,0.0,mean,1024,68.5,
,100,1000,False,False,services,False,5,False,Sahajtomar/German-semantic,0.0,mean,1024,68.5,25.0
,100,1000,False,False,services,False,5,False,Sahajtomar/German-semantic,0.0,mean,1024,68.5,25.0
,100,1000,False,False,services,False,5,False,Sahajtomar/German-semantic,0.0,mean,1024,68.5,
,100,1000,False,False,services,False,25,False,Sahajtomar/German-semantic,0.0,mean,1024,85.6,
